Unnamed: 0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,Is Gap Direct_False,Is Gap Direct_True,Is Metal_False,Is Metal_True
62,False,,,,,62,40,-0.44399638686413134,-0.38720372989761037,True,-0.35540561496627426,-1.0880961281915877,7.4812,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-5.934960867931622,-4.829578237809758,,True,False,True,False
63,True,,,,,12,12,-0.1410162616718187,1.2258172473679687,False,-0.6707953871557615,-0.9292843183323148,0.0,,-0.4497623536282312,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
64,False,,,,,12,21,-0.44399638686413134,0.6467515337361367,True,0.026598501048253505,0.5993084430756817,0.0,,-0.4162208609371766,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
65,False,,,,,87,23,0.3318656945354708,-0.2504668729113863,False,-0.4594881432269875,-1.0283713401429693,4.6232,,-0.4497287499069403,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
66,False,,,,,148,20,-0.4427211349615426,-0.6683459499437906,False,-0.2402740576370363,-0.709213448316268,0.0,,-0.44585177777115353,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
67,False,,,,,15,36,-0.24451040085030368,-1.0944706333703071,False,-0.15004359735378595,-0.5187210257033057,5.7495,,-0.44967590344388664,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
68,True,,,,,38,12,-0.2996807576828091,-1.792139554056161,False,-0.839428821480254,0.42639632504531255,2.1872,,-0.4497566605503979,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,True,False
69,True,,,,,74,6,-0.15192451239932753,1.1397911077830285,False,-0.9465846077819731,1.7192566331837986,0.0,,-0.28376535148454335,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
70,True,,,,,1,102,-0.34663789653962207,-0.5265295218068842,False,2.1014957415591007,-0.7174934169287195,1.1399,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
71,False,,,,,15,104,-0.20943834139176734,1.0561498325752936,False,1.5970787320887072,-1.360080820157113,4.0129,,-0.4497721656929498,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,False,True,True,False
72,True,,,,,148,42,-0.18835251529861555,-0.8523105167980527,False,-0.221367228309068,-0.6734869377239926,0.0,,-0.03368610398725519,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
73,True,,,,,1,38,-0.3654327167497248,-0.7941904958308628,False,-0.21832310472887462,-0.5188912911818033,0.0,,1.3535362416876495,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
74,True,,,,,194,12,-0.43280213042904797,0.9650981815105768,False,-0.8460522087609148,2.944623777324096,0.0,,-0.44976955838812,,,,,,,-9.56468798389532e-16,,,,,-2.0813033679928877e-15,-2.7861859489140655e-15,0.0,,True,False,False,True
